Project Name,Rule,TP,TP-Type,TN,FP,FP-Type,FN,FN-Type,TP+TN+FP+FN,Minus,,,
5 (StaticFail-5),4,1,SP,3,0,,0,,4,0,,,
6,2,0,,1,1,UT,0,,2,0,,,
10,3,1,ANC,2,0,,0,,3,0,,,
12,3,1,FLP,1,1,FD,0,,3,0,,,
13,4,1,FR,3,0,,0,,4,0,,,
16,3,0,,3,0,0,0,,3,0,,,
18,3,1,WOI,2,0,,0,,3,0,,,
21,4,0,,3,1,FD,0,,4,0,,,
22,4,1,UT,3,0,,0,,4,0,,,
23,5,0,,3,1,SP,1,FLP,5,0,,,
24,1,0,,1,0,,0,,1,0,,,
25,4,2,"FR (new), FLP",1,1,FD,0,,4,0,,,
26,3,0,,3,0,,0,,3,0,,,
27,1,0,,1,0,,0,,1,0,,,
28 (StaticFail-4),4,1,FLP (new),2,1,FD,0,,4,0,,,
30,3,0,,3,0,,0,,3,0,,,
31 (StaticFail-6),6,0,,6,0,,0,,6,0,,,
34,4,0,,4,0,,0,,4,0,,,
36,2,0,,2,0,,0,,2,0,,,
37,3,1,FLP,1,1,WOI,0,,3,0,,,
39,4,1,UT,2,1,FLP,0,,4,0,,,
41,2,0,,2,0,,0,,2,0,,,
43,3,1,WOI,1,1,FLP,0,,3,0,,,
44,1,0,,1,0,,0,,1,0,,,
45,3,1,WOI,1,1,FLP,0,,3,0,,,
47,1,0,,1,0,,0,,1,0,,,
49 (StaticFail-4),4,0,,4,0,,0,,4,0,,,
52 (StaticFail-5),4,1,SP,3,0,,0,,4,0,,,
53,2,0,,2,0,,0,,2,0,,,
54,4,1,UT,3,0,,0,,4,0,,,
56,4,1,FD (new),3,0,,0,,4,0,,,
57,5,1,FLP (new),4,0,,0,,5,0,,,
59,5,1,FLB,3,1,FLP,0,,5,0,,,
61,4,1,FD (new),2,1,FLP,0,,4,0,,,
64,4,0,,4,0,,0,,4,0,,,
67,2,1,FLP,0,1,WOI,0,,2,0,,,
68,3,0,,3,0,,0,,3,0,,,
69,6,2,"ANC, FLB",4,0,,0,,6,0,,,
70,6,3,"FD (new), SP, FLP",1,1,UT,1,FR,6,0,,,
71,3,1,FD,1,1,FLP,0,,3,0,,,
75,3,0,,3,0,,0,,3,0,,,
76,3,0,,2,1,FLP,0,,3,0,,,
77,4,0,,2,1,FLP,1,FD,4,0,,,
78,5,1,FLP,3,1,ANC,0,,5,0,,,
79,2,1,FLP,1,0,,0,,2,0,,,
81 (StaticFail-3),3,1,FLP,1,1,UT,0,,3,0,,,
83,4,0,,4,0,,0,,4,0,,,
89,4,1,"FD (new), SP",2,1,FLP,0,,4,0,,,
94,2,0,,2,0,,0,,2,0,,,
98,2,0,,1,1,FLP,0,,2,0,,,
100,3,1,FD,2,0,,0,,3,0,,,
102 (StaticFail-6),6,1,FR,5,0,,0,,6,0,,,
103,1,0,,1,0,,0,,1,0,,,
104,2,0,,2,0,,0,,2,0,,,
105,3,0,,2,1,WOC,0,,3,0,,,
106,2,0,,2,0,,0,,2,0,,,
107,3,2,"FD (new), FLP",1,0,,0,,3,0,,,
109,2,0,,2,0,,0,,2,0,,,
112 (StaticFail-4),4,1,WOC,2,1,FLP,0,,4,0,,,
113,5,0,,4,1,UT,0,,5,0,,,
114,2,0,,1,0,,1,FD,2,0,,,
115 (StaticFail-3),3,0,,2,1,FLP,0,,3,0,,,
122,1,0,,1,0,,0,,1,0,,,
123,5,0,,3,2,"FD, WOI",0,,5,0,,,
124,5,1,FLP (new),3,1,SP,0,,5,0,,,
131,4,1,FLP,2,0,,1,SP,4,0,,,
143,4,2,"UT, FLP",1,0,,1,FR,4,0,,,
145,2,1,ANC,1,0,,0,,2,0,,,
190,1,0,,1,0,,0,,1,0,,,
191,0,0,,0,0,,0,,0,0,,,
192,3,0,,2,1,WOI,0,,3,0,,,
193 (StaticFail-3),3,0,,0,1,FLP,2,"FD, SP",3,0,,,
,232,40,,154,30,,8,,232,0,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Precision,0.571428571,Recall,0.833333333,F1 score,0.677966102,Accuracy,0.836206897,,,,,
